EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,Aruba,0.1015312311,0.1053712621,0.1096536274,0.1027714919,0.1073081303,0.1146828608,0.07681770434,0.1152550259,0.1157742208,0.115864375,0.09789657222,0.09479311604,0.1026187039,0.1150578213,0.110841349,0.1206285611,0.1216443425,0.1264879091,0.122419817,0.1481368004,0.1462656528,0.09120417541,0.1096806245,0.1118977166,0.1212862392,0.1276555206,0.1315121574,0.1184677234,0.1152934579,0.1286584554,0.1676030169,0.140027532,0.1360251748,0.130924875,0.1270935826
AFG,Afghanistan,0.2424139402,0.2738974147,0.2499075114,0.3363744792,0.4348720349,0.2951600727,0.3433751593,0.3899773712,0.4319973312,0.4790053595,0.4410837546,0.4281463528,0.4014768772,0.384131691,0.3820184075,0.3467050033,0.3330208871,0.3135766002,0.3594270979,0.3387098758,0.3446524491,0.3942350248,0.3261961389,0.2920035744,0.2865080156,0.2798053079,0.2645787583,0.2891618963,0.2994654903,0.2927078312,0.2994226874,0.3828469785,0.3968406287,0.3944030522,0.4016956646
AGO,Angola,0.3966123092,0.3848211062,0.3996551975,0.5896363223,0.7529983795,0.7545011238,0.7973029881,0.7629632331,0.791805115,0.7827094255,0.7090587281,0.663445263,0.5637963478,0.5512589907,0.5368545339,0.4538879065,0.3626017125,0.310290564,0.2945703029,0.2990189245,0.3180485773,0.3026453459,0.2864543275,0.2900030043,0.2837415627,0.2972408141,0.2944793631,0.2759226113,0.2611868031,0.2658098741,0.2498494325,0.2603461878,0.2580908505,0.2562596003,0.2511149411
AIA,Anguilla,0.02918908359,0.04537273679,0.03565067985,0.04177497467,0.05186323056,0.0633185209,0.0651231131,0.05594520527,0.04514466263,0.03965749322,0.05300612784,0.05513131446,0.04464030765,0.04732990957,0.04031726737,0.03391786617,0.03041064268,0.02499512356,0.02982680559,0.0533819722,0.06463740577,0.06967403307,0.07542761422,0.09365650115,0.09848384834,0.1142212647,0.127935723,0.1510135509,0.1912022019,0.1247811362,0.1121034485,0.1028666168,0.09015522421,0.07963578914,0.08241375803
ALB,Albania,0.6291872463,0.6880136312,0.5053547641,0.4640998085,0.4766858116,0.3988532423,0.3564420166,0.3553240521,0.3434688215,0.3699213816,0.3540274017,0.3336825939,0.3457618159,0.3359735986,0.3272689404,0.296094352,0.2808499446,0.2622351643,0.2387647747,0.232003435,0.234252862,0.2408888763,0.2293565306,0.2326923005,0.2405690784,0.2312259138,0.212676136,0.2260579257,0.2179668258,0.2013675982,0.1921903776,0.187377587,0.1619470961,0.1469803988,0.1387127621
ANT,Curaçao,0.8356154872,0.8454456586,0.8689776804,0.7125750325,0.775530496,0.7538969736,0.7365502856,1.34428611,1.337778701,1.266577873,1.281727276,1.290531761,1.228661021,1.227512965,1.272514954,1.3250319,1.273552321,1.343866948,1.301418732,1.240709358,0.9047471414,1.158262806,1.179976604,1.091275326,1.209786071,1.217717478,1.070139794,0.8738807585,0.7226957705,0.5785448559,0.596058831,0.6086655817,0.5824545953,0.5576388063,0.5780959443
ARE,United Arab Emirates,0.3876033914,0.4248217809,0.4088907546,0.4344312698,0.4275250384,0.4211534226,0.4175927906,0.3922970538,0.3949225456,0.3932175545,0.3625688886,0.3957473105,0.3910236797,0.3815533141,0.3648286955,0.3704899468,0.3520689778,0.3632972518,0.4081898223,0.4331566265,0.4436596923,0.4330107169,0.4435141383,0.4442559065,0.4326968551,0.4255490193,0.4157874352,0.4002817654,0.3710251935,0.3871122089,0.4038343584,0.3956646422,0.3683732278,0.3537205236,0.354087833
ARG,Argentina,0.4542636015,0.4225710111,0.3945518663,0.3672502911,0.3543463552,0.3685864785,0.3586974436,0.3376827988,0.3296544242,0.349102076,0.3478685991,0.3601978855,0.4028791264,0.3979526844,0.3873719635,0.3610576535,0.3476567608,0.3298006035,0.3193142399,0.3170006352,0.2911849973,0.2799981397,0.289072677,0.2892719504,0.2965536889,0.2936663303,0.3024795786,0.2969878253,0.3048179732,0.3086129111,0.3282121934,0.3115803144,0.3057208625,0.3059784541,0.3085852374
ARM,Armenia,1.114913424,1.291868782,1.251336336,0.7514744738,0.4903469067,0.5177118539,0.4103305541,0.4528585142,0.4238120616,0.3834869225,0.3966049075,0.3702544903,0.3024773118,0.286701097,0.2804058047,0.2743899687,0.2413609426,0.2401854141,0.2378575711,0.2360062655,0.2224889714,0.2313309649,0.2401708817,0.2336768951,0.2349192043,0.225808241,0.2211724659,0.210549158,0.203372181,0.1990148706,0.2306403063,0.2312745776,0.2112981316,0.1864882784,0.1769263029
ATG,Antigua and Barbuda,0.1855558851,0.1828063914,0.1819527302,0.1708399699,0.170948399,0.1848717676,0.1724616383,0.1706455335,0.166147819,0.1621677203,0.1177873793,0.1220050316,0.1304238359,0.1302991952,0.1249679707,0.120287994,0.1161846962,0.1130226411,0.11883436,0.1494644021,0.157650694,0.1294606055,0.1316416612,0.1474744337,0.1532854881,0.1561575229,0.1603561209,0.140667232,0.1354591838,0.1513068983,0.1788511405,0.1678487663,0.1585108187,0.1562175388,0.15400421
AUS,Australia,0.7456529328,0.7530760743,0.753125872,0.7308875389,0.709019421,0.6941543469,0.6864447258,0.677656697,0.6742859951,0.6500780771,0.637104897,0.6353743202,0.6217376056,0.5912012494,0.5896062039,0.573148986,0.5647381458,0.5514727584,0.5307507817,0.5272526582,0.5167692963,0.5147213247,0.4986592654,0.4781661511,0.4601187203,0.4529337662,0.4372626024,0.4396935237,0.4239906368,0.4129921077,0.3959902984,0.3855558602,0.3670350151,0.3645848698,0.3632597573
AUT,Austria,0.2411100944,0.2454381297,0.2248376785,0.2236550098,0.2196227763,0.2216819938,0.2274204213,0.220609227,0.2134826459,0.2007915891,0.1948723141,0.2035889013,0.2046583793,0.2130752897,0.2094514605,0.2057523753,0.1942008512,0.1811952718,0.1778004673,0.1689428331,0.1781851641,0.1696380266,0.162107351,0.163507359,0.1552324564,0.155967266,0.1535487472,0.1540529581,0.1448891857,0.1447258554,0.1430367915,0.1419982814,0.1281439895,0.1217559759,0.1221760249
AZE,Azerbaijan,0.8752329103,0.8578272985,0.93104386,1.072558111,1.185346721,1.318374883,1.136692655,1.053802387,0.9692547246,0.9263115298,0.8716769783,0.7799636826,0.7098954233,0.6907938163,0.6319078544,0.5278901947,0.4073788387,0.3275815129,0.324881113,0.2643078717,0.2465758975,0.2642503343,0.2756623379,0.2668670816,0.2688803292,0.2654728767,0.2724528487,0.2706267255,0.2702397791,0.2776300317,0.2814611359,0.2775895087,0.2774576475,0.2818627944,0.2587219929
