EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,Aruba,0.6259343332,0.703654777,0.880821386,0.957859153,0.9417035071,1.172725632,1.158691475,1.342566951,1.429498667,1.499374731,1.562692292,1.603430983,1.568203437,1.590970732,1.807467271,1.891402806,2.058007079,2.326239182,2.586744729,3.493536392,3.544991519,3.820022388,3.986240677,3.773021348,4.029570439,4.216948009,2.759323213,4.315004899,4.328293166,4.300152595,3.830728167,3.779342529,3.963345373,4.399334741,4.468017999,4.7812498,4.837136268,5.165258834,5.084225619,5.428476094,5.20232101,3.340593267,3.95522099,4.269305006,4.527415852,4.710673927,4.913790631,4.718501341,4.684081741,5.091920919,4.876836536,5.03116635,5.303663829,5.273173967,5.451077804
AFG,Afghanistan,1.375141701,1.333100968,1.132815689,1.161646249,1.237024856,1.268347208,1.255777581,1.238781921,1.196084904,1.181646087,1.181160096,1.211696275,1.240198025,1.272752299,1.220182861,1.240726016,1.116279094,1.114383055,1.133821248,1.076780709,1.055714453,1.001559141,0.8630024791,0.8072879547,0.7572829912,0.7288787969,0.7706510214,0.8050114532,0.829507707,0.8507902032,0.7148941698,0.6023154175,0.6928408204,0.6875193456,0.6631011348,0.6439727927,0.6309884016,0.6579170784,0.76427024,0.8521013628,0.9640779919,1.073723005,0.969454612,0.8865564788,0.8655759823,0.8327207807,0.7838394912,0.8577120474,0.8780044507,0.8717289459,0.8514050241,0.8438054663,0.8022156632,0.7979312343,0.7956368037
AGO,Angola,2.779411748,2.702630304,3.004551064,3.143567305,3.155609837,2.91855914,2.336975975,2.844993679,3.021433916,2.989514357,2.946058405,2.693670351,2.846627442,2.905042846,2.849342956,2.983014577,3.017076686,3.090387258,3.16350653,3.154519889,2.800379102,2.660559089,2.518559344,2.732861629,3.424943764,3.828251652,4.464049767,4.459010332,4.714888456,4.629380042,4.192775573,3.957498264,3.694480166,3.591412881,3.744321835,3.513556211,3.021406297,2.844526288,2.896961747,2.862077814,3.066654797,2.913543143,2.888565081,2.962741863,2.934478023,2.998526806,2.798185148,2.532673118,2.289746105,2.240144761,1.923978724,1.965006179,1.944530612,1.890963058,1.876773191
AIA,Anguilla,0.5306138696,0.5344867568,0.5529277805,0.5308809447,0.5716618719,0.611092139,0.5886583161,0.6060362645,0.6632212995,0.7124229227,0.9002353906,1.25044729,1.328561674,1.188379686,1.137526568,0.7852137867,0.6893086016,1.089861758,0.9981558711,0.9997295767,0.9562971554,1.099141429,1.101927068,1.297992591,1.607965129,1.915260651,1.851329262,1.544066026,1.400209053,1.304764615,1.616077506,1.62129809,1.135649275,1.386012326,1.302519661,1.292048365,1.202203155,1.145561977,1.355151829,1.70948678,1.974769474,2.098344143,2.075121137,2.189851383,2.164254218,2.15027496,2.154746751,2.183962586,2.105818902,2.045385822,1.709404764,1.687587534,1.677057092,1.572348986,1.6271979
ALB,Albania,3.827258151,3.715937808,4.04427348,3.727400383,3.759215715,3.752073162,3.919371251,4.057539919,4.370510768,4.720201039,4.691224902,4.247954141,4.39850806,4.613677117,4.628103165,4.379053555,4.346046751,4.326283953,4.191093681,4.091787221,3.504048659,2.763785329,1.904391153,1.946755721,2.199350791,2.108129316,2.031668609,1.787634037,1.865122626,2.246300722,2.305493548,2.365280197,2.567119096,2.634255079,2.712699623,2.595783026,2.631572586,2.643193885,2.600595593,2.620355498,2.744909247,2.905911817,2.800356964,2.890638602,3.053554442,2.997705784,2.862059811,3.137904718,3.132213823,2.949279349,2.718253863,2.885965662,2.612018511,2.463945419,2.417478984
ANT,Curaçao,104.9544406,103.6517324,99.57067734,109.0238387,98.00022103,70.42862627,74.92492833,76.09774321,64.99766526,64.5776564,61.38359449,56.81200696,51.35981279,47.98186148,46.61741017,31.163445,29.81799585,27.81681778,24.57531031,21.25752646,19.39081903,20.14995166,21.09706941,17.54664742,19.7482403,19.96549493,20.44415004,39.57708101,41.73370684,42.16933685,44.55856923,45.17559785,43.66590072,44.02695296,45.68763858,47.43710008,45.46024828,47.84903574,45.917399,42.27133571,30.08229186,37.94010512,37.91426364,34.41164292,37.51391311,37.57323414,32.38813175,25.92078396,20.85052212,16.06004975,13.4171051,14.23013085,14.60717183,14.4846819,14.92614006
ARE,United Arab Emirates,126.4239963,128.469858,118.6499116,127.6201575,110.7694067,95.75849062,99.4625287,87.4099136,83.20515837,59.2265207,56.4271829,48.11131599,43.64960034,39.74216679,47.79114375,46.83333858,44.24650842,44.03740422,41.15400916,43.92450925,42.74000355,44.61212124,41.8955541,42.60781654,42.48769212,42.46311476,42.42824133,41.06254738,39.44033498,38.38099675,37.15645724,39.00850778,37.44106273,37.25632227,35.72757075,33.95942687,30.96605363,28.59593052,29.06633008,26.28346759,25.35381128,25.06572532,25.47256307,26.49018024,26.68429182,27.76916372,28.28484227,27.04927146,25.02506153,26.01647784,25.4503933,25.69713764,25.40430669,24.96390701,25.61811403
ARG,Argentina,9.14416177,9.129647187,9.258465738,9.413347156,9.26739685,9.136956631,9.31347341,9.566538841,9.158587042,9.23548866,8.932498048,8.592293346,8.347425589,8.423596035,8.333340704,7.928491681,7.996236355,8.007771807,8.156079991,8.012458608,7.731974978,7.739670607,7.693155328,7.644988174,7.705843803,7.690280682,7.802827864,7.849687088,7.868600394,7.961399472,7.783723333,7.619142457,7.509787311,7.984972266,8.382757479,8.414366086,8.662564607,8.865681381,8.840878632,8.172966933,8.182401701,8.253746596,8.34566989,8.46320001,8.371338979,8.430662405,8.419717499,8.418522902,8.335645198,8.194842747,7.781919739,8.087254004,8.281196954,8.08603731,7.948543546
ARM,Armenia,5.013707659,4.954660904,5.141344824,5.402839726,5.651724513,5.97740741,6.010800688,6.102009787,6.223213863,6.331436763,6.589013948,6.626640043,6.71458343,6.641878075,6.560485202,6.478847923,6.439596936,6.401296959,6.284790795,6.117403608,6.869907617,7.094917294,4.072226218,2.283180212,1.608242814,1.852572494,1.578543784,1.82018994,1.842146045,1.732833856,1.909856595,1.966256299,1.828401505,1.986197084,2.158860619,2.421805481,2.43003611,2.77334217,2.961046315,2.540901176,2.457657562,2.677037986,2.972894076,2.975994413,3.085965845,3.049942005,2.985248001,3.04913152,3.094436977,3.255442532,3.498774948,3.710215927,3.81685214,3.64953405,3.669358504
ATG,Antigua and Barbuda,2.365301253,2.422606298,2.692055433,2.680392242,2.451451503,2.769789698,2.578141246,2.748560367,2.79972588,2.865935914,2.915711454,2.702465678,3.193586656,2.344984256,2.649730943,2.745910827,2.871180313,3.434867187,3.647473579,3.666832703,3.69767797,3.688398207,3.652921469,3.532896757,3.677509969,3.705478275,3.587160704,3.641925307,3.615478238,3.571159229,2.696977432,2.620317505,2.790242901,2.922178622,2.931869343,2.971233742,3.19704712,3.359562314,3.489923635,3.818811645,3.669805332,2.921908298,3.037777908,3.346479996,3.517022081,3.595742142,3.804959873,3.39306925,3.451634343,3.93823712,3.739924286,3.764833247,3.842947153,3.843362146,3.880463622
AUS,Australia,24.57937675,24.60623324,25.12683463,25.31389169,26.04763392,26.40320374,26.31594813,26.48452602,25.55974445,25.54719853,25.72544612,25.61553091,25.83508007,24.64687085,25.2031624,25.64318773,25.56042205,25.78397383,25.99980449,26.8581605,27.03415864,26.83594032,26.62279971,26.57582044,26.51423198,26.67765334,27.10827756,27.51347838,28.35022034,28.40360819,28.62235817,28.81630586,29.00880556,28.11639556,28.85674135,28.52073494,28.40673676,28.27344214,27.66417785,27.49122467,27.06825634,27.16816877,26.94139208,26.12987799,25.44016538,25.24202759,24.70252281,25.06860869,24.54624377,24.12064081,22.81846644,22.41893533,21.99410544,22.34994874,22.25770371
AUT,Austria,9.526163272,9.901094473,10.15147713,10.61152573,10.29128197,9.945407793,10.65514299,10.3200354,10.59579403,10.96284048,10.72822388,10.25230325,9.970117338,9.952258535,10.27125089,10.44278761,10.22263733,10.22466417,10.04469909,9.915500472,10.38037185,10.86181606,10.08291867,10.00458354,9.99042682,10.29754043,10.76081765,10.64259015,10.6476859,10.37846658,10.37037345,10.9383305,11.1087178,11.63832027,11.67536712,11.6829169,11.3447808,10.94889691,10.86503968,9.915962958,10.59709629,10.32286097,9.859342728,9.849906054,9.361586623,9.478619152,9.492589536,9.714173157,9.345782732,9.483495521,8.764611211,9.098749448,8.624784411,8.098217667,8.013533128
AZE,Azerbaijan,6.281985139,6.222322257,6.448568723,6.773878378,7.096994292,7.465634118,7.536722484,7.641703482,7.876634848,8.008492099,8.234281709,8.304229052,8.311971038,8.339334721,8.346266173,8.336858146,8.356553152,8.373376783,8.207285533,8.083107801,9.343579124,8.951297884,7.404945637,6.46489796,5.661100327,5.487941946,4.744286454,4.612254968,4.62891687,4.713304737,4.886007899,4.761057684,4.696685852,4.986047807,4.931466505,5.216237358,5.355403503,5.344650344,5.797140804,5.098927401,4.925018014,5.130312396,5.399787295,5.462004428,5.586641019,5.507834528,5.418682287,5.334567259,5.354384914,5.586187769,5.379723361,5.560083196,5.778019854,5.910060436,5.613000609
BDI,Burundi,0.6137291528,0.6035238972,0.6243415111,0.6333551889,0.632377958,0.6458464618,0.6377035968,0.6270460255,0.6205013589,0.6240710809,0.5498401951,0.4886391396,0.4864761663,0.4830562708,0.4873774193,0.4640234957,0.4890092886,0.4811386695,0.4939548534,0.4868910369,0.5625564417,0.5737089739,0.5536020472,0.5523009762,0.5386046884,0.5511966118,0.5616695758,0.5637636229,0.5538570955,0.4756114966,0.4767926921,0.4628138283,0.4454388512,0.4377377546,0.4448857812,0.4459242902,0.4579450261,0.4768912396,0.4592329137,0.4723400224,0.4976771147,0.5124029381,0.4969103093,0.5989983542,0.5766239083,0.5579944905,0.5725777882,0.6179506042,0.6256239111,0.5837428023,0.5663414656,0.6423464479,0.6082730343,0.6274167924,0.6271763487
BEL,Belgium,17.36574836,16.31661516,17.45301028,18.00136161,17.98605398,15.9518511,16.87419009,16.70356301,17.10262472,18.01637048,16.90685645,15.70840019,14.85328455,13.9015849,14.30383098,14.03189255,13.98533426,13.87379805,13.88985535,13.94744046,14.04814846,14.40640257,14.12612345,13.87681062,14.54284561,14.5987386,15.1097566,14.73875484,15.08300336,14.67351862,14.77403172,14.7454485,13.9436586,14.23406491,14.03800198,13.64528732,13.2273277,12.89003454,12.94952689,12.15916392,12.8438485,11.79549916,11.55400855,11.58870729,10.9198545,11.26803164,11.10219049,10.85635841,10.84458934,10.75801571,9.954595633,10.24264443,9.562666072,9.126416172,9.15003566
BEN,Benin,0.8644495786,0.8252559691,0.8746891497,0.9004434169,0.8720298679,0.9082577428,0.844920775,0.8582074111,0.8632591814,0.8739213795,0.8931181065,0.9194321993,0.9528527265,0.9099595165,0.9060124234,0.9311335054,0.8446671381,0.8149951902,0.7839718658,0.7593572891,0.7710971033,0.7632524719,0.7568090429,0.734541635,0.7680562066,0.70597335,0.8387410067,0.858231678,0.8358617943,0.863531871,0.8701612103,0.9192738479,0.9534016924,0.9732301721,0.9853894007,1.012515721,1.136749968,1.188894571,1.168619813,1.19498599,1.25540001,1.230757712,1.19139569,1.230820515,1.258078112,1.276435681,1.395746198,1.388726591,1.474063111,1.452186547,1.457091897,1.30002348,1.334256998,1.322910492,1.31979295
BFA,Burkina Faso,1.121617222,1.108007794,1.030902921,0.9636933844,0.972436658,0.9811103266,0.9897319709,0.9960761695,1.012664994,1.036656058,1.043526062,1.061235875,1.089512802,1.097176308,1.096851301,1.188383671,1.202591206,1.216407488,1.220959427,1.217241104,1.283241458,1.314647475,1.293094605,1.28913477,1.294352989,1.301136429,1.305670293,1.316034593,1.318013295,1.226831391,1.221665467,1.327205263,1.321129517,1.544782946,1.520211106,1.525620325,1.515140358,1.531231765,1.563697642,1.550446693,1.558684759,1.553954501,1.56624225,1.579744453,1.551935229,1.601823095,1.602073335,1.61513847,1.650627348,1.662015517,1.444517325,1.648457368,1.617094294,1.522607382,1.495470742
BGD,Bangladesh,0.7841121669,0.7495869926,0.7476059935,0.7426891995,0.7370627232,0.7624710699,0.7561064378,0.7581831583,0.7907719798,0.8020367857,0.6968892587,0.6895663121,0.6950809237,0.680598841,0.6760188929,0.6828307062,0.6911607272,0.6890554686,0.6927378828,0.7080790849,0.7051056839,0.6896740123,0.6981453428,0.6984895847,0.7087110104,0.7451976422,0.7419126754,0.7469751129,0.7403538646,0.7618659745,0.7626678378,0.797514321,0.8054426854,0.8127926502,0.8179828019,0.8343598494,0.8543761186,0.874891391,0.9124023737,0.9352514661,0.9749032319,0.9960926683,1.019124374,1.026828796,1.055876327,1.10087583,1.142728006,1.186922684,1.205392736,1.224188498,1.194183683,1.279096113,1.287194153,1.233701746,1.250214972
BGR,Bulgaria,10.49889232,10.4994654,10.77734946,10.84806331,10.89594934,11.5905762,11.64183208,11.94038056,12.60241107,13.01377824,13.37091935,12.92596193,13.11692947,12.96138827,12.71325746,12.86781145,12.98638746,13.01151303,12.96692017,12.80925374,11.39581507,9.523816215,9.07126435,9.029388935,8.719879878,8.929241806,9.095665886,8.831290373,8.548752589,7.748560217,7.610172718,7.925045842,7.57190429,8.418490269,8.273320641,8.456455871,8.688816161,9.255273727,8.911027304,7.868011968,8.324527124,9.148997139,8.540639827,7.850994079,8.380571429,8.738342617,8.456702835,8.831628439,8.435540047,8.269525233,7.576159266,8.585597715,9.167620816,7.310077373,6.920174109
